values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
1949,NA,NA,NA,14,NA,NA,NA,8,129,NA,385,377,NA,NA,NA,NA,NA,1,3,3,132,NA,NA,NA,NA,NA,3,NA,NA,NA,81,NA,5,3196,166,NA,NA,NA,NA,NA,22,NA,NA
1926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,94,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,975,987,NA,NA,NA,NA,NA,NA,2,1,53,NA,NA,NA,NA,NA,11,NA,NA,NA,11,NA,21,999,276,NA,NA,NA,NA,NA,NA,NA,NA
1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171,169,NA,NA,NA,NA,5,213,13,13,3,NA,NA,NA,NA,NA,3,NA,NA,NA,1963,NA,NA,16764,171,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201,192,NA,NA,NA,NA,NA,78,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,3,39,5147,39,NA,NA,NA,NA,NA,7,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,156,NA,NA,NA,NA,NA,917,91,54,41,NA,NA,NA,NA,NA,4,NA,NA,NA,159,NA,14,785,45,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,81,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,38,51148,496,NA,NA,NA,NA,NA,1,NA,NA
1956,NA,NA,NA,2643,NA,353,NA,NA,189,NA,1434,1353,NA,NA,NA,NA,1,144,1,NA,143,NA,NA,NA,NA,NA,3,NA,NA,NA,287,185,7,1079,511,NA,NA,NA,NA,NA,NA,1,1
2010,NA,NA,NA,NA,NA,NA,NA,NA,40,181,21104,19787,NA,NA,NA,NA,25,NA,NA,4526,NA,NA,NA,NA,NA,NA,267,NA,NA,NA,18543,2385,69887,55317,51060,NA,NA,NA,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA,NA,NA,NA,35,161,23952,27002,NA,NA,NA,NA,NA,NA,NA,1300,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,115,25171,48757,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA,NA,NA,NA,9,118,11424,12855,NA,NA,NA,NA,NA,NA,NA,1933,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,17623,22695,59776,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA,NA,NA,NA,2548,162,100256,93841,NA,NA,NA,NA,NA,NA,NA,3084,NA,NA,NA,NA,NA,794,23,NA,NA,NA,919,126,27702,39078,660,NA,NA,NA,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA,NA,NA,NA,10,228,906,8041,NA,NA,NA,NA,NA,NA,NA,345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,29663,65704,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,145768,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,32369,67866,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,69,7,NA,NA,NA,11,NA,1088,1086,NA,NA,NA,NA,78,NA,NA,NA,24,NA,NA,NA,NA,1,8,NA,NA,NA,98,NA,189,16963,236,2,NA,NA,NA,NA,4,1,1
1945,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,747,758,NA,NA,NA,NA,NA,1,NA,NA,53,NA,NA,NA,NA,NA,24,NA,NA,NA,2610,NA,149,14802,138,NA,NA,NA,NA,NA,NA,10,10
1942,103,NA,NA,511,32,NA,NA,NA,NA,NA,430,738,NA,NA,NA,NA,237,360,NA,NA,6,NA,NA,NA,NA,NA,10,NA,NA,NA,113,NA,NA,1734,66,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,NA,NA,6,6,NA,948,866,NA,NA,NA,NA,9,NA,NA,NA,44,NA,NA,NA,NA,NA,17,NA,NA,NA,2,NA,22,7842,314,NA,NA,NA,NA,NA,NA,774,706
1935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,364,358,NA,NA,NA,NA,NA,102,NA,NA,121,NA,NA,NA,NA,NA,2,NA,NA,NA,1207,NA,NA,11750,6,NA,NA,NA,NA,NA,NA,35,31
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1459,1340,NA,NA,NA,NA,3,1346,NA,NA,6,NA,NA,NA,NA,NA,4,NA,NA,NA,198,NA,27,1868,18,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,46,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,1525,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,459,450,NA,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6702,NA,NA,15146,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,45,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2547,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,105,NA,NA,NA,NA,NA,4989,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49177,1740,35474,NA,NA,NA,NA,NA,NA,NA,NA
