values,AB03,AB06,AB07,AB08,AB10,AB11,AB16,AB25,AB29,AB30,BC08,BC10,MB01,MB02,MB04,MB05,MB06,MB07,NB01,NB02,NL01,NS01,NS02,NS03,NT01,NT03,ON02,PC01,PC02,PE01,QC02,QC03,QC04,QC05,QC06,SK01,SK02,SK03,SK04,SK05,SK06,YT01,YT02
87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,497,NA,NA
88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA
89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,NA,NA
90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4490,4375,NA,NA,NA,NA,NA,NA,NA,NA,NA,4720,6785,4847,2471,2535,95953,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,102,805,311,5171,97,87
91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,16,17065,2280,707,35106,12656,8003,28830,44258,NA,2,1,NA,NA,NA,4,NA,NA,2641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,NA,NA
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA
93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA
94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,1,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,30,NA,NA
95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,870,918,NA,NA,NA,NA,NA,NA,NA,NA,NA,1801,1973,1257,136,136,23155,NA,NA,NA,NA,NA,NA,287983,NA,NA,NA,2,115,28,2542,17,17
96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA
97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA
98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA
99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,146,69,27,1,1,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955,950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,56,12433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,179,NA,NA
